iter	Passed	Remaining
181	709	3189
182	712	3183
183	716	3178
184	720	3174
185	724	3170
186	728	3166
187	732	3161
188	736	3158
189	740	3155
190	743	3150
191	747	3146
192	751	3142
193	755	3137
194	759	3133
195	762	3129
196	766	3124
197	770	3119
198	773	3114
199	777	3109
200	781	3104
201	784	3100
202	788	3095
203	791	3090
204	795	3084
205	799	3080
206	802	3074
207	806	3070
208	809	3064
209	812	3057
210	816	3052
211	820	3049
212	824	3045
213	827	3039
214	831	3034
215	835	3031
216	838	3026
217	842	3021
218	846	3017
219	850	3014
220	854	3010
221	857	3005
222	861	3000
223	864	2995
224	868	2990
225	871	2985
226	875	2982
227	879	2978
228	883	2973
229	887	2970
230	891	2966
231	894	2961
232	899	2959
233	902	2955
234	906	2950
235	909	2944
236	913	2939
237	916	2935
238	920	2931
239	924	2926
240	927	2921
241	931	2917
242	935	2913
243	938	2907
244	942	2904
245	946	2899
246	949	2895
247	953	2891
248	956	2886
249	960	2881
250	964	2877
251	968	2873
252	972	2870
253	976	2866
254	979	2862
255	985	2865
256	990	2864
257	996	2866
258	1002	2869
259	1008	2869
260	1013	2868
261	1017	2867
262	1022	2866
263	1027	2863
264	1030	2858
265	1034	2855
266	1038	2851
267	1042	2847
268	1046	2842
269	1050	2838
270	1053	2834
271	1057	2830
272	1061	2826
273	1064	2821
274	1068	2817
275	1072	2813
276	1076	2809
277	1080	2805
278	1083	2799
279	1086	2794
280	1090	2789
281	1093	2784
282	1097	2779
283	1100	2775
284	1104	2770
285	1107	2764
286	1111	2760
287	1115	2757
288	1118	2752
289	1122	2749
290	1126	2744
291	1130	2740
292	1133	2736
293	1138	2732
294	1141	2728
295	1145	2723
296	1149	2720
297	1152	2715
298	1157	2712
299	1160	2708
300	1164	2703
301	1167	2699
302	1171	2695
303	1175	2691
304	1179	2688
305	1183	2684
306	1187	2680
307	1191	2676
308	1195	2672
309	1199	2668
310	1202	2664
311	1206	2660
312	1210	2656
313	1214	2652
314	1217	2648
315	1221	2644
316	1225	2639
317	1228	2635
318	1232	2630
319	1236	2627
320	1240	2623
321	1243	2618
322	1247	2614
323	1251	2611
324	1255	2606
325	1259	2603
326	1263	2600
327	1267	2597
328	1271	2592
329	1274	2588
330	1278	2584
331	1282	2580
332	1285	2575
333	1288	2570
334	1293	2566
335	1297	2563
336	1301	2560
337	1304	2555
338	1308	2551
339	1313	2549
340	1316	2544
341	1320	2540
342	1323	2535
343	1327	2531
344	1331	2527
345	1334	2523
346	1338	2519
347	1342	2515
348	1346	2511
349	1349	2506
350	1353	2502
351	1357	2498
352	1360	2494
353	1364	2490
354	1368	2486
355	1372	2482
356	1375	2477
357	1379	2473
358	1382	2467
359	1386	2464
360	1389	2459
361	1393	2456
362	1397	2451
363	1400	2447
364	1404	2442
365	1407	2438
366	1411	2433
367	1414	2429
368	1418	2425
369	1421	2420
370	1425	2416
371	1429	2412
372	1432	2408
373	1436	2404
374	1440	2400
375	1443	2396
376	1447	2391
377	1451	2387
378	1454	2383
379	1458	2379
380	1462	2375
381	1466	2372
382	1469	2368
383	1473	2364
384	1477	2360
385	1480	2355
386	1484	2351
387	1488	2347
388	1492	2343
389	1496	2340
390	1499	2336
391	1503	2331
392	1507	2328
393	1510	2323
394	1514	2319
395	1518	2315
396	1521	2311
397	1525	2307
398	1528	2302
399	1532	2299
400	1536	2294
401	1540	2291
402	1544	2287
403	1547	2283
404	1550	2278
405	1554	2273
406	1558	2270
407	1562	2267
408	1567	2264
409	1570	2260
410	1575	2257
411	1579	2253
412	1582	2249
413	1585	2244
414	1592	2244
415	1596	2240
416	1600	2237
417	1605	2236
418	1611	2235
419	1622	2239
420	1632	2245
421	1639	2245
422	1645	2244
423	1653	2245
424	1660	2246
425	1667	2247
426	1678	2252
427	1693	2263
428	1698	2261
429	1711	2269
